0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:03 +0300] "GET /northwind/fonts/roboto/Roboto-Medium.woff2 HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:03 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:03 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:03 +0300] "GET /northwind/fonts/roboto/Roboto-Bold.woff2 HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:03 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:03 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:03 +0300] "GET /northwind/fonts/roboto/Roboto-Medium.woff HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:03 +0300] "GET /northwind/fonts/roboto/Roboto-Bold.woff HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:07 +0300] "GET /northwind/category-delete?categoryId=333 HTTP/1.1" 200 4755
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:07 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:07 +0300] "GET /northwind/fonts/roboto/Roboto-Medium.woff2 HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:07 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:07 +0300] "GET /northwind/fonts/roboto/Roboto-Bold.woff2 HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:07 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:07 +0300] "GET /northwind/fonts/roboto/Roboto-Medium.woff HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:07 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:51:07 +0300] "GET /northwind/fonts/roboto/Roboto-Bold.woff HTTP/1.1" 404 802
